Text,Null copula,Person/num. agreement,Multiple negators,Existential it/dey,Perfect done,Remote past BIN, Habitual be
"F:           You see him there; say “there a go a manatee”; Boy, he went on that thing in a dive down there, come up, flipped his tail, and going down. ",,,,,,,
F:	 It was a beautiful sight; yeah?,,,,,,,
U3:        Good stuff. ,,,,,,,
U3:	 Where else can you see it at?,,,,,,,
F:	 Keep goin; I’ll answer if you got more questions.,,,,,,,
F:	 Keep goin---,,,,,,,
G:	 I’m trying to think.,,,,,,,
G:	So you-  Do you still live in Fort McCoy; now?,,,,,,,
F:	 Still live in Fort McCoy.,,,,,,,
F:	 That’s where they gonna bury me in Fort McCoy.,1,,,,,,
G:	 So- Did you spend time in Ocala as a whole; or no?,,,,,,,
F:	 Well; yeah.,,,,,,,
F:	 I would go to town—Yeah; Yeah; I’ve been quite a bit; time I’ve spent in Ocala.,,,,,,,
G:	 Was there a strong black community present in Ocala?,,,,,,,
F:	 Yup.,,,,,,,
G:	 Yeah?,,,,,,,
G:	 Was it due to Howard High School or just---?,,,,,,,
F:	 Yeah.,,,,,,,
F:	  Matter of fact; that’s where I went to high school in Ocala.,,,,,,,
G:	 At Howard High School?,,,,,,,
G:	 Wow.,,,,,,,
G:	 What was it like then?,,,,,,,
F:	 Well; she’s backin’ up in segregation days—It wasn’t altogether; together; but that was---just pulling everything together right then.,,,,,,,
F:	 That’s what its all about back in the day.,,,,,,,
F:	So I didn’t find a problem with it.,,,,,,,
G:	 No problems?,,,,,,,
G:	 That’s good.,,,,,,,
F:	 Yup.,,,,,,,
G:	 Do you have anything else you want to add?,,,,,,,
G:	 I’m out of questions.,,,,,,,
F:	 You out of questions?,1,,,,,,
F:	 Well; that’s why I’m here; to answer your questions.,,,,,,,
F:	 I answered everything?,,,,,,,
G:	 Yeah; I think you did!,,,,,,,
F:	 You got to find some- Just keep thinkin.,,,,,,,
F:	 You’ll come up with something.,,,,,,,
G:	 Okay; I’ll keep thinking.,,,,,,,
G:	 Do you have a really great story that you want to tell me?,,,,,,,
G:	 Your fondest memory of working here at Silver Springs?,,,,,,,
F:	 Well; I’ve had so many.,,,,,,,
F:	 The reason being to me; everything that I done; that I made somebody happy; then it made me happy.,,,,,,,
F:	 So it’s not a theory with me about that; I just answer; just in general; it’s what I done and I enjoyed what I was doing.,,,,,,,
F:	 That’s what made me put in the time that I did.,,,,,,,
F:	 Because I made a lot of people happy and I liked doing that.,,,,,,,
F:	 I don’t have a problem with it.,,,,,,,
F:	 Still don’t have a problem with it.,,,,,,,
F:	 It’s a little bit different from when it was a theme park; then it come to a state park because some of the things we done back in there when it was a theme park; we could do it.,,,,,,,
F:	 With the state its---,,,,,,,
G:	 What could you do as a theme park but not as a state park?,,,,,,,
F:	 You could do just about anything you wanted to do out there; as long as made people happy; they was pleased.,,1,,,,,
G:	 So what were you doing?,,,,,,,
F:	 Feeding the fish; fish football game; and the story goes on.,,,,,,,
G:	 What’s a fish football game?,,,,,,,
F:	 Throwing a bread ball.,,,,,,,
F:	 We squeezed a bread ball together.,,,,,,,
F:	 Make a bread ball; throw it out there; and let the blue gill come in in that V formation.,,,,,,,
F:	 That was the army.,,,,,,,
F:	 Then come the catfish; they got that big mouth and they bottom feeders and they bumped that ball out in a beautiful site.,1,,,,,,
F:	 If you see that; I can tell you about it; but it ain’t like seein’ it.,,,,,,,
F:	 And they bumped that ball; and they’d get down there in that catfish territory; and they had that big mouth.,,,,,,,
F:	 Well the blue gill couldn’t figure out the bread ball no way;  When it get there when that catfish get it; boy he .,,,,,,,
F:	 Like a shot like that; and when he’d picked it up; he’s go and them blue gill is running after him .,,,,,,,
F:	 It was fun.,,,,,,,
F:	 It was fun.,,,,,,,
F:	 Everybody enjoyed that.,,,,,,,
F:	 Everyone I threw out there; they would--- “Man are you gonna have a fish football game?”,1,,,,,,
F:	  “Yeah; we gonna have one.”,1,,,,,,
G:	 Did you do one every boat ride?,,,,,,,
F:	 Yeah.,,,,,,,
G:	 Those were hungry fish!,,,,,,,
F:	 Yeah.,,,,,,,
F:	 Well; we had fish.,,,,,,,
F:	 It used to be a time I could take that boat--- I don’t care where.,,,,,,,
F:	 Just spin that boat around; two times; and I’d have that glass full of blue gill.,,,,,,,
F:	 They feed up top; catfish are your bottom feeders.,,,,,,,
F:	 It’s something to see; it was interesting; no question about it.,,,,,,,
F:	 I enjoyed doing what I was doing.,,,,,,,
G:	 Definitely.,,,,,,,
G:	 Well; I really can’t think of anything else.,,,,,,,
G:	 I know where you are if I think of more things.,,,,,,,
G:	 Thank you so much for answering my questions.,,,,,,,
G:	 It was great to interview you.,,,,,,,
F:	 Um-hm.,,,,,,,
G:	 If I think of anything else I’m gonna come find you.,,,,,,,
